Breed Name,Image Filename,Source,Attribution,License,URL
Carolina Dog,Carolina_Dog.jpg,Pixabay,Unknown,Pixabay License,
Catahoula Leopard Dog,Catahoula_Leopard_Dog.jpg,Pixabay,Unknown,Pixabay License,
Caucasian Shepherd Dog,Caucasian_Shepherd_Dog.jpg,Pexels,Unknown,Pexels License,
Cavalier King Charles Spaniel,Cavalier_King_Charles_Spaniel.jpg,Pixabay,Unknown,Pixabay License,
Central Asian Shepherd Dog,Central_Asian_Shepherd_Dog.jpg,Pixabay,Unknown,Pixabay License,
Cesky Terrier,Cesky_Terrier.jpg,Pexels,Unknown,Pexels License,
Chesapeake Bay Retriever,Chesapeake_Bay_Retriever.jpg,Pixabay,Unknown,Pixabay License,
Chihuahua,chihuahua.jpg,Pixabay,Unknown,Pixabay License,
Chinese Crested,Chinese_Crested.jpg,Pixabay,Unknown,Pixabay License,
Chinese Shar-Pei,Chinese_Shar-Pei.jpg,Pixabay,Unknown,Pixabay License,
Chinook,Chinook.jpg,Pixabay,Unknown,Pixabay License,
Chow Chow,Chow_Chow.jpg,Pixabay,Unknown,Pixabay License,
Cirneco dell'Etna,Cirneco_dell'Etna.jpg,Pixabay,Unknown,Pixabay License,
Clumber Spaniel,Clumber_Spaniel.jpg,Pixabay,Unknown,Pixabay License,
Cocker Spaniel,Cocker_Spaniel.jpg,Pixabay,Unknown,Pixabay License,
Collie,collie.jpg,Pixabay,Unknown,Pixabay License,
Coton de Tulear,Coton_de_Tulear.jpg,Pexels,Unknown,Pexels License,
Coton de Tulear,cotondetulear.jpg,Pixabay,Unknown,Pixabay License,
Croatian Sheepdog,Croatian_Sheepdog.jpg,Pexels,Unknown,Pexels License,
Curly-Coated Retriever,Curly-Coated_Retriever.jpg,Pixabay,Unknown,Pixabay License,
Czechoslovakian Vlcak,Czechoslovakian_Vlcak.jpg,Pixabay,Unknown,Pixabay License,
Dachshund,dachshund.jpg,Pixabay,Unknown,Pixabay License,
Dalmatian,dalmatian.jpg,Pixabay,Unknown,Pixabay License,
Dandie Dinmont Terrier,Dandie_Dinmont_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Danish-Swedish Farmdog,Danish-Swedish_Farmdog.jpg,Pexels,Unknown,Pexels License,
Deutscher Wachtelhund,Deutscher_Wachtelhund.jpg,Pixabay,Unknown,Pixabay License,
Doberman Pinscher,Doberman_Pinscher.jpg,Pixabay,Unknown,Pixabay License,
Dogo Argentino,Dogo_Argentino.jpg,Pixabay,Unknown,Pixabay License,
Dogue de Bordeaux,Dogue_de_Bordeaux.jpg,Pixabay,Unknown,Pixabay License,
Drentsche Patrijshond,drentsche_patrijshond.jpg,Pixabay,Unknown,Pixabay License,
Drever,Drever.jpg,Pixabay,Unknown,Pixabay License,
Dutch Shepherd,Dutch_Shepherd.jpg,Pixabay,Unknown,Pixabay License,
English Cocker Spaniel,English_Cocker_Spaniel.jpg,Pixabay,Unknown,Pixabay License,
English Foxhound,English_Foxhound.jpg,Pixabay,Unknown,Pixabay License,
English Setter,English_Setter.jpg,Pixabay,Unknown,Pixabay License,
English Springer Spaniel,English_Springer_Spaniel.jpg,Pixabay,Unknown,Pixabay License,
English Toy Spaniel,english_toy_spaniel.jpg,Pixabay,Unknown,Pixabay License,
Entlebucher Mountain Dog,Entlebucher_Mountain_Dog.jpg,Pixabay,Unknown,Pixabay License,
Estrela Mountain Dog,Estrela_Mountain_Dog.jpg,Pixabay,Unknown,Pixabay License,
Eurasier,Eurasier.jpg,Pixabay,Unknown,Pixabay License,
Field Spaniel,Field_Spaniel.jpg,Pixabay,Unknown,Pixabay License,
Finnish Lapphund,Finnish_Lapphund.jpg,Pixabay,Unknown,Pixabay License,
Finnish Spitz,Finnish_Spitz.jpg,Adobe Stock,Unknown,Adobe Stock License,
Flat-Coated Retriever,Flat-Coated_Retriever.jpg,Unknown,Unknown,Unknown,
French Bulldog,French_Bulldog.jpg,Unknown,Unknown,Unknown,
French Bulldog,alexandru-sofronie-jVOkrxUSzAQ-unsplash_french_bulldog.jpg,Unsplash,Alexandru Sofronie,Unsplash License,https://unsplash.com/photos/jVOkrxUSzAQ
French Bulldog,karsten-winegeart-oU6KZTXhuvk-unsplash_french_bulldog.jpg,Unsplash,Karsten Winegeart,Unsplash License,https://unsplash.com/photos/oU6KZTXhuvk
French Spaniel,French_Spaniel.jpg,Adobe Stock,Unknown,Adobe Stock License,
German Longhaired Pointer,german_longhaired_pointer.jpg,Pixabay,Unknown,Pixabay License,
German Pinscher,German_Pinscher.jpg,Pixabay,Unknown,Pixabay License,
German Shepherd Dog,German_Shepherd_Dog.jpg,Pixabay,Unknown,Pixabay License,
German Shepherd Dog,sofia-guaico-xqqjZznrar0-unsplash_german_shepard.jpg,Unsplash,Sofia Guaico,Unsplash License,https://unsplash.com/photos/xqqjZznrar0
German Shorthaired Pointer,German_Shorthaired_Pointer.jpg,Pixabay,Unknown,Pixabay License,
German Spitz,German_Spitz.jpg,Pixabay,Unknown,Pixabay License,
German Wirehaired Pointer,German_Wirehaired_Pointer.jpg,Pixabay,Unknown,Pixabay License,
Giant Schnauzer,Giant_Schnauzer.jpg,Pixabay,Unknown,Pixabay License,
Glen of Imaal Terrier,Glen_of_Imaal_Terrier.jpg,Pexels,Unknown,Pexels License,
Golden Retriever,Golden_Retriever.jpg,Pixabay,Unknown,Pixabay License,
Golden Retriever,justin-aikin-KFJuCzJiQYU-unsplash_golden_retriver.jpg,Unsplash,Justin Aikin,Unsplash License,https://unsplash.com/photos/KFJuCzJiQYU
Gordon Setter,Gordon_Setter.jpg,Pixabay,Unknown,Pixabay License,
Grand Basset Griffon Vendéen,Grand_Basset_Griffon_Vendéen.jpg,Pixabay,Unknown,Pixabay License,
Great Dane,Great_Dane.jpg,Pixabay,Unknown,Pixabay License,
Great Pyrenees,Great_Pyrenees.jpg,Pixabay,Unknown,Pixabay License,
Greater Swiss Mountain Dog,Greater_Swiss_Mountain_Dog.jpg,Pixabay,Unknown,Pixabay License,
Greyhound,greyhound.jpg,Pixabay,Unknown,Pixabay License,
Hamiltonstovare,Hamiltonstovare.jpg,Pixabay,Unknown,Pixabay License,
Hanoverian Scenthound,Hanoverian_Scenthound.jpg,Pixabay,Unknown,Pixabay License,
Harrier,Harrier.jpg,Pixabay,Unknown,Pixabay License,
Havanese,havanese.jpg,Pixabay,Unknown,Pixabay License,
Hokkaido,Hokkaido.jpg,Pixabay,Unknown,Pixabay License,
Hovawart,Hovawart.jpg,Pexels,Unknown,Pexels License,
Ibizan Hound,Ibizan_Hound.jpg,Pixabay,Unknown,Pixabay License,
Icelandic Sheepdog,Icelandic_Sheepdog.jpg,Pexels,Unknown,Pexels License,
Irish Red and White Setter,Irish_Red_and_White_Setter.jpg,Pixabay,Unknown,Pixabay License,
Irish Setter,Irish_Setter.jpg,Pixabay,Unknown,Pixabay License,
Irish Terrier,Irish_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Irish Water Spaniel,Irish_Water_Spaniel.jpg,Pixabay,Unknown,Pixabay License,
Irish Wolfhound,Irish_Wolfhound.jpg,Pixabay,Unknown,Pixabay License,
Italian Greyhound,Italian_Greyhound.jpg,Pixabay,Unknown,Pixabay License,
Jagdterrier,Jagdterrier.jpg,Pexels,Unknown,Pexels License,
Japanese Chin,Japanese_Chin.jpg,Pixabay,Unknown,Pixabay License,
Japanese Spitz,Japanese_Spitz.jpg,Pixabay,Unknown,Pixabay License,
Jindo,Jindo.jpg,Pixabay,Unknown,Pixabay License,
Kai Ken,Kai_Ken.jpg,Pexels,Unknown,Pexels License,
Karelian Bear Dog,Karelian_Bear_Dog.jpg,Pexels,Unknown,Pexels License,
Keeshond,keeshond.jpg,Pixabay,Unknown,Pixabay License,
Kerry Blue Terrier,Kerry_Blue_Terrier.jpg,Pexels,Unknown,Pexels License,
Kishu Ken,Kishu_Ken.jpg,Pixabay,Unknown,Pixabay License,
Komondor,komondor.jpg,Pixabay,Unknown,Pixabay License,
Kromfohrlander,Kromfohrlander.jpg,Pixabay,Unknown,Pixabay License,
Kuvasz,kuvasz.jpg,Pixabay,Unknown,Pixabay License,
Labrador Retriever,Labrador_Retriever.jpg,Pixabay,Unknown,Pixabay License,
Labrador Retriever,Labrador_Retriever_yellow.jfif,Unsplash,Jason Sung,Unsplash License,https://unsplash.com/photos/yellow-labrador-retriever-biting-green-tennis-ball-sN_FdbUjUuo
Labrador Retriever,ryan-phillips-PIDjFNVOxY0-unsplash_labrador_retriever.jpg,Unsplash,Ryan Phillips,Unsplash License,https://unsplash.com/photos/PIDjFNVOxY0
Lagotto Romagnolo,Lagotto_Romagnolo.jpg,Pixabay,Unknown,Pixabay License,
Lakeland Terrier,Lakeland_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Lancashire Heeler,Lancashire_Heeler.jpg,Pixabay,Unknown,Pixabay License,
Lapponian Herder,Lapponian_Herder.jpg,Pixabay,Unknown,Pixabay License,
Leonberger,Leonberger.jpg,Pixabay,Unknown,Pixabay License,
Lhasa Apso,Lhasa_Apso.jpg,Pixabay,Unknown,Pixabay License,
Löwchen,Löwchen.jpg,Pixabay,Unknown,Pixabay License,
Maltese,maltese.jpg,Pixabay,Unknown,Pixabay License,
Manchester Terrier Standard,Manchester_Terrier_Standard.jpg,Pixabay,Unknown,Pixabay License,
Manchester Terrier Toy,Manchester_Terrier_Toy.jpg,Pixabay,Unknown,Pixabay License,
Mastiff,mastiff.jpg,Pixabay,Unknown,Pixabay License,
Miniature American Shepherd,Miniature_American_Shepherd.jpg,Pexels,Unknown,Pexels License,
Miniature Bull Terrier,Miniature_Bull_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Miniature Pinscher,Miniature_Pinscher.jpg,Pixabay,Unknown,Pixabay License,
Miniature Schnauzer,Miniature_Schnauzer.jpg,Pixabay,Unknown,Pixabay License,
Mountain Cur,Mountain_Cur.jpg,Pixabay,Unknown,Pixabay License,
Mudi,Mudi.jpg,Pixabay,Unknown,Pixabay License,
Neapolitan Mastiff,Neapolitan_Mastiff.jpg,Wikimedia Commons,Unknown,Creative Commons,https://commons.wikimedia.org/wiki/File:Mastino_sylwetka.jpg
Nederlandse Kooikerhondje,Nederlandse_Kooikerhondje.jpg,Pixabay,Unknown,Pixabay License,
Newfoundland,Newfoundland.jpg,Pixabay,Unknown,Pixabay License,
Norfolk Terrier,Norfolk_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Norrbottenspets,Norrbottenspets.jpg,Pixabay,Unknown,Pixabay License,
Norwegian Buhund,Norwegian_Buhund.jpg,Pixabay,Unknown,Pixabay License,
Norwegian Elkhound,Norwegian_Elkhound.jpg,Pixabay,Unknown,Pixabay License,
Norwegian Lundehund,Norwegian_Lundehund.jpg,Pixabay,Unknown,Pixabay License,
Norwich Terrier,Norwich_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Nova Scotia Duck Tolling Retriever,Nova_Scotia_Duck_Tolling_Retriever.jpg,Pixabay,Unknown,Pixabay License,
Old English Sheepdog,Old_English_Sheepdog.jpg,Pixabay,Unknown,Pixabay License,
Otterhound,otterhound.jpg,Pixabay,Unknown,Pixabay License,
Papillon,papillon.jpg,Pixabay,Unknown,Pixabay License,
Parson Russell Terrier,Parson_Russell_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Pekingese,Pekingese.jpg,Pixabay,Unknown,Pixabay License,
Pembroke Welsh Corgi,Pembroke_Welsh_Corgi.jpg,Pixabay,Unknown,Pixabay License,
Perro de Presa Canario,Perro_de_Presa_Canario.jpg,Pixabay,Unknown,Pixabay License,
Peruvian Inca Orchid,Peruvian_Inca_Orchid.jpg,Wikimedia Commons,Unknown,Creative Commons,https://commons.wikimedia.org/wiki/File:Peruvian_Hairless_Dog_1.jpg
Peruvian Inca Orchid,PHDStandardStanding_-_Perro_Sin_Pelo_del_Perú.jpg,Pixabay,Unknown,Pixabay License,
Petit Basset Griffon Vendéen,Petit_Basset_Griffon_Vendéen.jpg,Pixabay,Unknown,Pixabay License,
Pharaoh Hound,Pharaoh_Hound.jpg,Pixabay,Unknown,Pixabay License,
Plott Hound,Plott_Hound.jpg,Pixabay,Unknown,Pixabay License,
Pointer,pointer.jpg,Pixabay,Unknown,Pixabay License,
Polish Lowland Sheepdog,Polish_Lowland_Sheepdog.jpg,Pixabay,Unknown,Pixabay License,
Pomeranian,pomeranian.jpg,Pixabay,Unknown,Pixabay License,
Poodle Miniature,Poodle_Miniature.jpg,Pixabay,Unknown,Pixabay License,
Poodle Miniature,jarad-lee-sxn9LiahfMM-unsplash_poodle_miniature.jpg,Unsplash,Jarad Lee,Unsplash License,https://unsplash.com/photos/sxn9LiahfMM
Poodle Standard,Poodle_Standard.jpg,Pixabay,Unknown,Pixabay License,
Poodle Standard,fredrik-ohlander-tGBRQw52Thw-unsplash_poodle.jpg,Unsplash,Fredrik Öhlander,Unsplash License,https://unsplash.com/photos/tGBRQw52Thw
Poodle Toy,Poodle_Toy.jpg,Pixabay,Unknown,Pixabay License,
Poodle Toy,alison-pang-c2XO2lTnE7A-unsplash_poodle_toy.jpg,Unsplash,Alison Pang,Unsplash License,https://unsplash.com/photos/c2XO2lTnE7A
Porcelaine,Porcelaine.jpg,Pexels,Unknown,Pexels License,
Portuguese Podengo,Portuguese_Podengo.jpg,Pixabay,Unknown,Pixabay License,
Portuguese Podengo Pequeno,Portuguese_Podengo_Pequeno.jpg,Pixabay,Unknown,Pixabay License,
Portuguese Pointer,Portuguese_Pointer.jpg,Pixabay,Unknown,Pixabay License,
Portuguese Sheepdog,Portuguese_Sheepdog.jpg,Pixabay,Unknown,Pixabay License,
Portuguese Water Dog,Portuguese_Water_Dog.jpg,Pixabay,Unknown,Pixabay License,
Pudelpointer,Pudelpointer.jpg,Pixabay,Unknown,Pixabay License,
Pug,pug.jpg,Pixabay,Unknown,Pixabay License,
Puli,Puli.jpg,Pixabay,Unknown,Pixabay License,
Pumi,Pumi.jpg,Pixabay,Unknown,Pixabay License,
Pyrenean Mastiff,Pyrenean_Mastiff.jpg,Pixabay,Unknown,Pixabay License,
Pyrenean Shepherd,Pyrenean_Shepherd.jpg,Pexels,Unknown,Pexels License,
Rafeiro do Alentejo,Rafeiro_do_Alentejo.jpg,Pixabay,Unknown,Pixabay License,
Rat Terrier,Rat_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Redbone Coonhound,Redbone_Coonhound.jpg,Pixabay,Unknown,Pixabay License,
Rhodesian Ridgeback,Rhodesian_Ridgeback.jpg,Pixabay,Unknown,Pixabay License,
Romanian Mioritic Shepherd Dog,Romanian_Mioritic_Shepherd_Dog.jpg,Pixabay,Unknown,Pixabay License,
Rottweiler,rottweiler.jpg,Pixabay,Unknown,Pixabay License,
Rottweiler,kevin-seibel-s3fnidf3VVs-unsplash_rottweiler.jpg,Unsplash,Kevin Seibel,Unsplash License,https://unsplash.com/photos/s3fnidf3VVs
Russell Terrier,Russell_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Russian Toy,Russian_Toy.jpg,Pixabay,Unknown,Pixabay License,
Russian Tsvetnaya Bolonka,Russian_Tsvetnaya_Bolonka.jpg,Pixabay,Unknown,Pixabay License,
Saint Bernard,Saint_Bernard.jpg,Pixabay,Unknown,Pixabay License,
Saluki,saluki.jpg,Pixabay,Unknown,Pixabay License,
Samoyed,samoyed.jpg,Pixabay,Unknown,Pixabay License,
Schapendoes,Schapendoes.jpg,Pixabay,Unknown,Pixabay License,
Schipperke,schipperke.jpg,Pixabay,Unknown,Pixabay License,
Scottish Deerhound,Scottish_Deerhound.jpg,Pixabay,Unknown,Pixabay License,
Scottish Terrier,Scottish_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Sealyham Terrier,Sealyham_Terrier.jpg,Pexels,Unknown,Pexels License,
Segugio Italiano,Segugio_Italiano.jpg,Wikipedia,Unknown,Creative Commons,
Shetland Sheepdog,Shetland_Sheepdog.jpg,Pixabay,Unknown,Pixabay License,
Shiba Inu,Shiba_Inu.jpg,Pixabay,Unknown,Pixabay License,
Shih Tzu,shihtzu.jpg,Wikipedia,Unknown,Creative Commons,
Shikoku,Shikoku.jpg,Pixabay,Unknown,Pixabay License,
Siberian Husky,Siberian_Husky.jpg,Pixabay,Unknown,Pixabay License,
Silky Terrier,Silky_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Skye Terrier,Skye_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Sloughi,Sloughi.jpg,Pexels,Unknown,Pexels License,
Slovakian Wirehaired Pointer,Slovakian_Wirehaired_Pointer.jpg,Pixabay,Unknown,Pixabay License,
Slovensky Cuvac,Slovensky_Cuvac.jpg,Pixabay,Unknown,Pixabay License,
Slovensky Kopov,Slovensky_Kopov.jpg,Pixabay,Unknown,Pixabay License,
Small Munsterlander Pointer,Small_Munsterlander_Pointer.jpg,Pixabay,Unknown,Pixabay License,
Smooth Fox Terrier,Smooth_Fox_Terrier.jpg,Wikipedia,Unknown,Creative Commons,
Soft Coated Wheaten Terrier,Soft_Coated_Wheaten_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Spanish Mastiff,Spanish_Mastiff.jpg,Pixabay,Unknown,Pixabay License,
Spanish Water Dog,Spanish_Water_Dog.jpg,Pixabay,Unknown,Pixabay License,
Spinone Italiano,Spinone_Italiano.jpg,Wikipedia,Unknown,Creative Commons,
Stabyhoun,Stabyhoun.jpg,Pixabay,Unknown,Pixabay License,
Staffordshire Bull Terrier,Staffordshire_Bull_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Standard Schnauzer,Standard_Schnauzer.jpg,Pixabay,Unknown,Pixabay License,
Sussex Spaniel,Sussex_Spaniel.jpg,Pixabay,Unknown,Pixabay License,
Swedish Lapphund,Swedish_Lapphund.jpg,Pixabay,Unknown,Pixabay License,
Swedish Vallhund,Swedish_Vallhund.jpg,Pixabay,Unknown,Pixabay License,
Taiwan Dog,Taiwan_Dog.jpg,Pixabay,Unknown,Pixabay License,
Teddy Roosevelt Terrier,Teddy_Roosevelt_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Thai Ridgeback,Thai_Ridgeback.jpg,Pixabay,Unknown,Pixabay License,
Tibetan Mastiff,Tibetan_Mastiff.jpg,Pixabay,Unknown,Pixabay License,
Tibetan Spaniel,Tibetan_Spaniel.jpg,Pixabay,Unknown,Pixabay License,
Tibetan Terrier,Tibetan_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Tornjak,Tornjak.jpg,Wikipedia,Unknown,Creative Commons,
Tosa,Tosa.jpg,Pixabay,Unknown,Pixabay License,
Toy Fox Terrier,Toy_Fox_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Transylvanian Hound,Transylvanian_Hound.jpg,Pixabay,Unknown,Pixabay License,
Treeing Tennessee Brindle,Treeing_Tennessee_Brindle.jpg,Pixabay,Unknown,Pixabay License,
Treeing Walker Coonhound,Treeing_Walker_Coonhound.jpg,Pixabay,Unknown,Pixabay License,
Vizsla,vizsla.jpg,Pixabay,Unknown,Pixabay License,
Weimaraner,weimaraner.jpg,Pixabay,Unknown,Pixabay License,
Welsh Springer Spaniel,Welsh_Springer_Spaniel.jpg,Pixabay,Unknown,Pixabay License,
Welsh Terrier,Welsh_Terrier.jpg,Pixabay,Unknown,Pixabay License,
West Highland White Terrier,West_Highland_White_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Wetterhoun,Wetterhoun.jpg,Pixabay,Unknown,Pixabay License,
Whippet,whippet.jpg,Pixabay,Unknown,Pixabay License,
Wire Fox Terrier,Wire_Fox_Terrier.jpg,Pixabay,Unknown,Pixabay License,
Wirehaired Pointing Griffon,Wirehaired_Pointing_Griffon.jpg,Pixabay,Unknown,Pixabay License,
Wirehaired Vizsla,Wirehaired_Vizsla.jpg,Pixabay,Unknown,Pixabay License,
Working Kelpie,Working_Kelpie.jpg,Pixabay,Unknown,Pixabay License,
Xoloitzcuintli,BIR_Grupp_5-_MEXIKANSK_NAKENHUND,_Lokal_Hero's_King_Og_Hart's_Istas_(23607403303).jpg,Wikipedia,Unknown,Creative Commons,https://en.wikipedia.org/wiki/Xoloitzcuintle#/media/File:BIR_Grupp_5-_MEXIKANSK_NAKENHUND,_Lokal_Hero%E2%80%99s_King_Og_Hart%E2%80%99s_Istas_(23607403303).jpg
Yakutian Laika,Yakutian_Laika.jpg,Pixabay,Unknown,Pixabay License,
Yorkshire Terrier,Yorkshire_Terrier.jpg,Pixabay,Unknown,Pixabay License,
